Ticker,Company,Aliases
KDP,Keurig Dr Pepper,"['Green Mountain Coffee Roasters', 'Green Mountain Coffee', 'Keurig Green Mountain', 'Keurig Dr Pepper']"
KEY,KeyCorp,['KeyCorp']
KEYS,Keysight Technologies,['Keysight Technologies']
KMB,Kimberly-Clark,"['Kimberly-Clark Worldwive', 'Kimberly, Clark and Co.', 'Kimberly-Clark Corporation', 'Kimberly-Clark Corp.', 'Kimberly-Clark Corp', 'Kimberly-Clark Co.', 'K-C', 'Kimberly-Clark']"
KIM,Kimco Realty,['Kimco Realty']
KMI,Kinder Morgan,['Kinder Morgan']
KKR,KKR & Co.,"['KKR', 'Kohlberg Kravis Roberts & Co.', 'KKR & Co. L.P.', 'KKR &']"
KLAC,KLA Corporation,"['KLA Tencor', 'Keep Looking Ahead', 'KLA']"
KHC,Kraft Heinz,"['The Kraft Heinz Company', 'Kraft Heinz Company', 'Kraft Heinz']"
KR,Kroger,"['The Kroger Co.', 'Kroger Co.', 'Kroger Grocery and Baking', 'Kroger']"
LHX,L3Harris,"['L3Harris', 'L3 Harris', 'Harris (United States)']"
LH,Labcorp,"['Laboratory Corporation of America Holdings', 'Labcorp']"
LRCX,Lam Research,"['Lam Research Co.,Ltd.', 'Lam Research Corporation', 'Lam Research']"
LW,Lamb Weston,['Lamb Weston']
LVS,Las Vegas Sands,"['Las Vegas Sands Corp.', 'Las Vegas Sands']"
LDOS,Leidos,"['Science Applications International Corporation', 'SAIC', 'Leidos']"
LEN,Lennar,"['Lenovo Group Ltd.', 'Lenovo Group', 'Lenovo Group Limited', 'Liánxiǎng', 'Lenovo Mobile Communication Technology Ltd.', 'Lennar']"
LII,Lennox International,"['Lennox', 'Lennox International']"
LLY,Lilly (Eli),['Lilly (Eli)']
LIN,Linde plc,"['Linde plc', 'Linde']"
LYV,Live Nation Entertainment,['Live Nation Entertainment']
LKQ,LKQ Corporation,['LKQ']
LMT,Lockheed Martin,"['Lockheed-Martin', 'LockMart', 'LMT', 'Lockheed Martin Corporation', 'Lockheed', 'Lockheed Martin']"
L,Loews Corporation,['Loews']
LOW,Lowe's,"['Ace Hardware', 'Gamble-Skogomo', 'Gamble Macleod Ltd.', ""Clark's-Gamble, Macleod Stedman Ltd."", 'Stedman Bros.', 'Tru Value', 'V&S, Rona', ""Lowe's""]"
LULU,Lululemon Athletica,"['lululemon Athletica Inc.', 'lululemon Athletica Incorporation', 'Lululemon Athletica']"
LYB,LyondellBasell,"['Lyondell Basell', 'Lyondell Basell Industries', 'LyondellBasell Industries', 'LyondellBasell']"
MTB,M&T Bank,"['Miyatere', 'MTB', 'Miyagi TV', 'MMT', 'M&T Bank']"
